;Передача в МС;Название поста;Индекс;;;;;;;;;;;;;
1;В Нижнеангарск;Гоуджекит - Гоуджекит;7011;;;;;;;;;;;;;
2;В Нижнеангарск;Верхняя Ангара - Уоян;7013;;;;;;;;;;;;;
3;В Нижнеангарск;Верхняя Ангара – Верхняя Заимка;7015;;;;;;;;;;;;;
5;В Багдарин;Баргузин - Тасса;7021;;;;;;;;;;;;;
6;В Улан-Удэ;Баргузин - Могойто;7022;;;;;;;;;;;;;
7;В У-Баргузин;Баргузин - Баргузин;7024;;;;;;;;;;;;;
8;В Кяхту;Селенга – У - Кяхта;7043;;;;;;;;;;;;;
9;В Новоселенгинск;Селенга - Новоселенгинск;7047;;;;;;;;;;;;;
10;В Улан-Удэ;Селенга – У-Удэ;7050;;;;;;;;;;;;;
11;В Улан-Удэ;Селенга - Мостовой;7051;;;;;;;;;;;;;
12;В Кабанск;Селенга - Кабанск;7053;;;;;;;;;;;;;
13;В Петропавловку;Джида - Хамней;7056;;;;;;;;;;;;;
14;В Санагу;Цакирка - Санага;7062;;;;;;;;;;;;;
15;В Кяхту;Чикой – Чиккожзавод;7074;;;;;;;;;;;;;
16;В Новоселенгинск;Чикой - Поворот;7076;;;;;;;;;;;;;
17;;;7084;;;;;;;;;;;;;
18;В Хоринск;Уда - Удинск;7202;;;;;;;;;;;;;
19;В Сосново-Озерск;Уда – Усть-Эгита;7124;;;;;;;;;;;;;
20;В Новую Курбу;Уда - Первомаевка;7128;;;;;;;;;;;;;
21;В Улан-Удэ;Уда – У-Удэ;7130;;;;;;;;;;;;;
22;В Сосново-ОзерскТолько при наличии связи;Она-Нижняя Майла;7133;;;;;;;;;;;;;
23;В Сосново-Озерск;Кудун-Михайловка;7135;;;;;;;;;;;;;
24;В Улан-Удэ;Кижинга-НовоКиж;7138;;;;;;;;;;;;;
25;В Новую Курбу;Курба-Новая Курба;30738;;;;;;;;;;;;;
26;;;7148;;;;;;;;;;;;;
27;В Кабанск;Бол.Речка-Посольск;7156;;;;;;;;;;;;;
28;В Багдарин;Витим-УстьЗаза;3095;;;;;;;;;;;;;
29;В Багдарин;Витим-Романовка;3096;;;;;;;;;;;;;
30;;;3099;;;;;;;;;;;;;
31;В Таксимо;Витим-Спицино;3102;;;;;;;;;;;;;
32;В Таксимо;Витим-Неляты;3103;;;;;;;;;;;;;
33;В Багдарин;Чина-ТроицкийПр.;3110;;;;;;;;;;;;;
34;В Багдарин;Заза-Усть-Заза;3113;;;;;;;;;;;;;
35;В Багдарин;Ципа-Ую;3127;;;;;;;;;;;;;
36;В Багдарин;Ципикан-Ципикан;3128;;;;;;;;;;;;;
37;В Улан-Удэ;Багдарин-Багдарин;3133;;;;;;;;;;;;;
38;В Таксимо;Муя-Таксимо;3135;;;;;;;;;;;;;
39;В Таксимо;Муякан-Лапро;3136;;;;;;;;;;;;;
40;В Кабанск;Мысовка-Бабушкин;7161;;;;;;;;;;;;;
41;Куанда-Куанда;Куанда-Куанда;3569;;;;;;;;;;;;;
42;В Багдарин;Витимкан-Варвар.;3655;;;;;;;;;;;;;
43;В Улан-Удэ;Хилок-МалыйКуналей;7099;;;;;;;;;;;;;
44;В Багдарин;Бол.Амалат - У.Антосе;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
