1;;;;;;ГЕОФИЗ;ЦАО
2;;;;;;;
3;Улан-Удэ;Бурят;5180761;30823;ОГМС;;
4;Бабушкин;Бурят;5170591;30822;М-2;;
5;Багдарин;Бурят;5451361;30554;ОГМС;Багдарин;
6;Баргузин;Бурят;5360961;30636;Г-1;;
7;Баунт;Бурят;5531311;30457;М-3;;
8;Бичура;Бурят;5060761;30934;М-2;;
9;Горячинск;Бурят;5300831;30731;М-2;;
10;Замакта;Бурят;5280991;30741;М-2;;
11;Иволгинск;Бурят;5180731;30825;А;;Иволгинск
12;Кабанск;Бурят;5210671;30729;У;;
13;Кижинга;Бурят;5190991;30833;М-3;closed;closed
14;Курумкан;Бурят;5431031;30547;М-2;;
15;Кырен;Бурят;5170221;30806;М-2;;
16;Кяхта;Бурят;5040651;30925;Г-2;;
17;Монды;Бурят;5170101;30802;М-2;;
18;Мухоршибирь;Бурят;5100781;30837;М-2;;
19;Нестерово;Бурят;5240791;30733;М-3;;
20;Нижнеангарск;Бурят;5580961;30433;Г-1;;Нижнеангарск
21;Новая Курба;Бурят;5210851;30738;М-3;;
22;Новоселенгинск;Бурят;5110671;30829;М-2;;
23;Орлик;Бурят;5259980;29999;М-2;;
24;Петропавловка;Бурят;5060531;30924;М-2;;
25;Романовка;Бурят;5321281;30650;М-2;;
26;Санага;Бурят;5070281;30911;М-3;;
27;Северобайкальск;Бурят;5560931;30435;М-2;closed;closed
28;Сосново-Озерское;Бурят;5251151;30745;О;;
29;Сухая;Бурят;5260711;30726;М-2;;
30;Таксимо;Бурят;5641481;30356;Г-1;;
31;Танхой;Бурят;5160511;30824;М-2;;
32;Тарбагатай;Бурят;5150741;30826;М-3;;
33;Тилишма;Бурят;5581541;30461;М-3; closed; closed
34;Троицкий Прииск;Бурят;5461311;30555;М-2;;
35;Тунка;Бурят;5170251;30811;М-2;;
36;Уакит;Бурят;5551361;30455;М-2;;
37;Уоян;Бурят;5611161;30348;М-3;;
38;Усть-Антосе;Бурят;5391321;30651;М-3;;
39;Усть-Баргузин;Бурят;5340891;30635;АЭ;Усть-Баргузин;
40;Усть-Джилинда;Бурят;5371191;30643;М-3;;
41;Ую;Бурят;5561451;30456;М-3;;
42;Хамнигадайская;Бурят;5010751;30929;М-3;;
43;Хоринск;Бурят;5220981;30739;М-2;;
44;Цакир;Бурят;5040361;30915;М-2;;
45;Гусиноозерск;Бурят;5150711;30827;АМС;;
46;Тасса;Бурят;5491121;30542;АМС;;
47;Телемба;Бурят;5273131;30751;АМС;;
;Торей;Бурят;5050481;30916;АМС;;
;Усть-Заза;Бурят;5321171;30649;АМС;;
;АМС Улан-Удэ;Бурят;;;АМС;;
